lipid_target,15JAN2021 WA COVID-LTR_1,15JAN2021 WA COVID-LTR_10,15JAN2021 WA COVID-LTR_11,15JAN2021 WA COVID-LTR_12,15JAN2021 WA COVID-LTR_13,15JAN2021 WA COVID-LTR_14,15JAN2021 WA COVID-LTR_15,15JAN2021 WA COVID-LTR_16,15JAN2021 WA COVID-LTR_17,15JAN2021 WA COVID-LTR_18,15JAN2021 WA COVID-LTR_19,15JAN2021 WA COVID-LTR_2,15JAN2021 WA COVID-LTR_20,15JAN2021 WA COVID-LTR_21,15JAN2021 WA COVID-LTR_22,15JAN2021 WA COVID-LTR_23,15JAN2021 WA COVID-LTR_3,15JAN2021 WA COVID-LTR_4,15JAN2021 WA COVID-LTR_5,15JAN2021 WA COVID-LTR_6,15JAN2021 WA COVID-LTR_7,15JAN2021 WA COVID-LTR_8,15JAN2021 WA COVID-LTR_9
TAG(56:5_FA20:2),0.379345756,0.446859929,0.465172954,0.453649151,0.399651969,0.437411393,0.420432261,0.405241402,0.385030638,0.452499215,0.451222797,0.400895731,0.422690852,0.416865706,0.399505013,0.411809957,0.428959967,0.432514675,0.393881779,0.421635459,0.438951979,0.419033649,0.426793625
TAG(56:5_FA20:3),1.225045952,1.409864814,1.438337377,1.397567694,1.291577733,1.389519902,1.321287899,1.202185013,1.264596405,1.545929567,1.363554982,1.29486916,1.340921093,1.305661717,1.25575676,1.265782869,1.354920102,1.38047112,1.334000835,1.320289194,1.341441378,1.257747899,1.316062698
TAG(56:5_FA20:4),1.201017115,1.244744913,1.33357629,1.345439075,1.323658305,1.230122612,1.1915328,1.265742388,1.180416481,1.40198042,1.395848954,1.176178355,1.303952613,1.286902128,1.281442006,1.278098797,1.151878642,1.249493127,1.308196383,1.228724875,1.219185171,1.249061908,1.255586547
TAG(56:5_FA22:4),0.695635408,0.825163991,0.820144222,0.791378124,0.787095109,0.772429762,0.750726017,0.737085145,0.748804204,0.895961433,0.788468014,0.729848258,0.734908092,0.806397592,0.763633752,0.784812306,0.758325359,0.757273261,0.756268707,0.750446312,0.747591777,0.781416061,0.746149023
TAG(56:5_FA22:5),0.11123423,0.138266919,0.128323672,0.123568902,0.118575125,0.119623082,0.120254283,0.114219852,0.121547628,0.132841104,0.130268914,0.108891991,0.11989826,0.130454063,0.128165648,0.119311134,0.114845039,0.114922906,0.120475022,0.119038085,0.124704969,0.121355711,0.114028731
TAG(56:6_FA16:0),0.414684977,0.500821964,0.473413392,0.450412813,0.465565461,0.461223465,0.457882019,0.420349681,0.417158237,0.466980853,0.448750011,0.425669926,0.430340299,0.445308662,0.418935811,0.453681693,0.445043968,0.431848435,0.442124428,0.437751242,0.4218475,0.459434668,0.416768812
TAG(56:6_FA18:0),0.060426436,0.063681011,0.058910368,0.061226231,0.05862754,0.058255032,0.058003916,0.05704393,0.055931762,0.061962686,0.058494981,0.059683022,0.065438216,0.056493864,0.057157329,0.059047399,0.048977151,0.057137877,0.062096769,0.057915182,0.05572125,0.058138998,0.05529759
TAG(56:6_FA18:1),0.43164893,0.459690165,0.439458283,0.476199152,0.420022997,0.426035715,0.42319489,0.402696115,0.426013575,0.460170662,0.442154813,0.440053473,0.413132477,0.426536296,0.425757126,0.455400153,0.442529235,0.391903557,0.452862573,0.408911202,0.417890872,0.456227512,0.382583655
TAG(56:6_FA18:2),0.436667291,0.534189178,0.482969563,0.487677918,0.518136229,0.490884888,0.484095738,0.515938932,0.503050175,0.525753785,0.507275875,0.525359384,0.461416202,0.50274466,0.484066675,0.472748965,0.530431506,0.509895568,0.480582458,0.485874604,0.482164756,0.471813362,0.467040619
TAG(56:6_FA18:3),0.136114862,0.157640187,0.156646764,0.15078543,0.152926717,0.146359297,0.145847871,0.135810695,0.149639013,0.161439863,0.148306779,0.142388455,0.14258325,0.143407665,0.136394737,0.142785148,0.142558372,0.146604678,0.141592987,0.13109289,0.147369549,0.139613678,0.130604512
TAG(56:6_FA20:2),0.191732084,0.223938856,0.229636567,0.227794868,0.210015062,0.210544428,0.21384285,0.1900849,0.201193257,0.233366151,0.212994462,0.208471754,0.202082042,0.217941774,0.187847559,0.203889809,0.218968013,0.205498618,0.196146174,0.198406504,0.228883951,0.206227228,0.187849973
TAG(56:6_FA20:3),1.041024812,1.164739763,1.168421235,1.184430555,1.077301554,1.122855493,1.029054724,0.998386787,1.053952152,1.223556204,1.164914383,1.017768427,1.079261265,1.093093262,1.024122183,1.060296144,1.124452528,1.128306543,1.054376416,1.065785522,1.107023406,1.049254775,1.044589215
TAG(56:6_FA20:4),2.14780611,2.35649309,2.324326191,2.527285615,2.343204947,2.260376245,2.058790362,2.270808726,2.184474551,2.404045555,2.521663832,2.112415349,2.331014559,2.302261173,2.280298868,2.164207867,2.265362314,2.143968769,2.521374402,2.183637236,2.305407856,2.201076167,2.344312971
TAG(56:6_FA20:5),0.062454348,0.061933182,0.070455601,0.066441755,0.065321068,0.067184511,0.06229714,0.068334047,0.060019118,0.076344466,0.071936652,0.062363677,0.065936561,0.069898278,0.063830718,0.065379068,0.062602041,0.067994303,0.072068044,0.061730276,0.069623605,0.06269023,0.065971127
TAG(56:6_FA22:4),0.497214253,0.583960014,0.597501572,0.567174769,0.557127416,0.541336881,0.539923817,0.555989166,0.540291158,0.59029127,0.578905887,0.516045053,0.550905398,0.550478415,0.558227733,0.534738809,0.519172355,0.548812051,0.542908173,0.522947847,0.535992612,0.572522933,0.541952188
TAG(56:6_FA22:5),0.983295679,1.282077187,1.159856743,1.269604436,1.112149895,1.141478598,1.187490577,1.104083202,1.141562764,1.336522767,1.243210853,1.068986953,1.026742051,1.126754374,1.21561169,0.983667064,1.137548599,1.108668188,1.140242557,1.167083144,1.158115778,1.189390363,1.025268426
TAG(56:6_FA22:6),0.09776844,0.112776938,0.113868502,0.121671567,0.111044407,0.113375612,0.110561682,0.097194125,0.113093756,0.123850842,0.123420127,0.105565761,0.111706706,0.116777726,0.111258621,0.119641384,0.115615451,0.109976502,0.111165745,0.106387861,0.115525622,0.111631706,0.101519495
TAG(56:7_FA16:0),0.224516796,0.269498735,0.242246891,0.257594357,0.247573088,0.252358448,0.238149017,0.222328064,0.239485564,0.260502106,0.244559169,0.264174938,0.232627615,0.241719433,0.224495187,0.230085217,0.24817551,0.235638445,0.24228294,0.224174168,0.241857251,0.238858869,0.22147485
TAG(56:7_FA16:1),0.025661409,0.02446496,0.025252954,0.027962421,0.025217485,0.026473543,0.024638013,0.023002773,0.025288596,0.027254932,0.024658358,0.026033401,0.024023702,0.023207528,0.025167837,0.024122845,0.02396528,0.024499865,0.025322087,0.026566017,0.025537012,0.023286604,0.025079024
TAG(56:7_FA18:0),0.012484491,0.013706778,0.01374118,0.013243304,0.014534462,0.013474297,0.014128635,0.013300245,0.012659036,0.014179636,0.013486712,0.014239215,0.013595819,0.012996781,0.013766144,0.014039312,0.013082355,0.012804253,0.013661183,0.01290945,0.012909694,0.012819786,0.012700877
TAG(56:7_FA18:1),0.16868528,0.191606915,0.169853559,0.1839974,0.167407698,0.166992046,0.17509685,0.15639495,0.167037503,0.184247912,0.186898602,0.184748074,0.173132136,0.166722147,0.167849741,0.173760133,0.177256426,0.175858352,0.182308772,0.175099503,0.170935482,0.168325587,0.151409137
TAG(56:7_FA18:2),0.668526516,0.826142628,0.741538586,0.73178341,0.770601372,0.762222069,0.698970823,0.723452928,0.747051628,0.755471194,0.767306446,0.795512991,0.727076092,0.713252205,0.739316107,0.749246939,0.798965563,0.772866904,0.769474888,0.780927156,0.698467718,0.735473726,0.670853266
TAG(56:7_FA18:3),0.225517438,0.229422418,0.250557582,0.222122969,0.223510512,0.222817495,0.249946907,0.201052241,0.228355562,0.257493869,0.211648796,0.218748422,0.211744976,0.220194424,0.200884608,0.234295209,0.225844859,0.24132576,0.23666856,0.213124561,0.244475933,0.22968736,0.201583118
TAG(56:7_FA20:3),0.485297106,0.540206794,0.508508515,0.534402088,0.476964828,0.507462344,0.470707511,0.440883502,0.461266745,0.522936972,0.539773302,0.492669159,0.482609678,0.462771129,0.438039874,0.443105443,0.511723982,0.528252016,0.490450634,0.495988913,0.523045865,0.43865576,0.467295542
TAG(56:7_FA20:4),2.219562572,2.344018274,2.341574799,2.476588489,2.327983911,2.253517778,2.207294835,2.329922518,2.264785565,2.54651981,2.475360935,2.328435749,2.315399496,2.376053619,2.163186448,2.254636808,2.212330415,2.340002159,2.56411033,2.258476377,2.262287991,2.164401198,2.309822325
TAG(56:7_FA20:5),0.304979656,0.341983314,0.349913063,0.368012895,0.344465998,0.328577527,0.33147586,0.341740292,0.315660218,0.362376822,0.361456909,0.352555736,0.343735393,0.357497207,0.328099959,0.325120828,0.31595438,0.341704001,0.34350901,0.336248859,0.325271876,0.309648787,0.337808744
TAG(56:7_FA22:4),0.079118078,0.082736561,0.086343911,0.083490926,0.079838347,0.078980585,0.080881014,0.076803438,0.078839175,0.090990038,0.090574828,0.079252328,0.078190742,0.084419777,0.080864707,0.076977059,0.08573651,0.081285112,0.08284165,0.081193539,0.080767631,0.082100327,0.076562432
TAG(56:7_FA22:5),1.051345997,1.255518462,1.180585694,1.180602105,1.177879859,1.186223217,1.093588932,1.070138637,1.078749552,1.287419447,1.224480639,1.056646033,1.163991824,1.150019481,1.100390396,1.124098092,1.146129335,1.091544,1.14859372,1.070589488,1.090709287,1.144236642,1.087702411
TAG(56:7_FA22:6),1.12755516,1.328846401,1.294497539,1.349813258,1.208712059,1.219715869,1.184230514,1.179334028,1.188852185,1.448385797,1.343196202,1.148806719,1.283925099,1.264748679,1.287445813,1.228775992,1.227232298,1.168172937,1.272568949,1.200640748,1.198208605,1.234609848,1.12682154
