lipid,p value,95% CI lower,95% CI upper,effect size,SARS-CoV-2 (-) median concentration,SARS-CoV-2 (+) median concentration,median concentration difference,BH q value
TAG(56:4_FA20:2),0.66,-0.17,0.22,0.082,0.5,0.42,-0.08,0.8810280373831777
TAG(56:7_FA16:0),0.66,-0.12,0.16,0.082,0.21,0.22,0.01,0.8810280373831777
TAG(58:7_FA20:4),0.66,-0.031,0.0084,0.082,0.038,0.05,0.012,0.8810280373831777
FFA(20:0),0.69,-0.17,0.12,0.075,0.29,0.33,0.04,0.8961266568483063
HCER(22:1),0.69,-0.023,0.015,0.075,0.059,0.06,0.001,0.8961266568483063
PS(20:0_16:1),0.69,-6.3,6.7,0.075,12,9.9,-2.1,0.8961266568483063
TAG(49:0_FA16:0),0.69,-0.13,0.52,0.075,0.29,0.21,-0.08,0.8961266568483063
TAG(49:1_FA18:1),0.69,-0.23,0.62,0.075,0.59,0.32,-0.27,0.8961266568483063
TAG(51:1_FA18:0),0.69,-0.04,0.13,0.075,0.09,0.078,-0.012,0.8961266568483063
TAG(52:0_FA16:0),0.69,-0.25,0.56,0.075,0.52,0.48,-0.04,0.8961266568483063
TAG(52:4_FA16:0),0.69,-1.2,1.9,0.075,4.5,3.7,-0.8,0.8961266568483063
TAG(53:5_FA20:4),0.69,-0.11,0.078,0.075,0.17,0.18,0.01,0.8961266568483063
TAG(54:1_FA20:1),0.69,-0.072,0.16,0.075,0.23,0.2,-0.03,0.8961266568483063
TAG(55:4_FA18:1),0.69,-0.015,0.026,0.075,0.044,0.041,-0.003,0.8961266568483063
TAG(56:4_FA20:3),0.69,-0.22,0.34,0.075,0.58,0.58,0,0.8961266568483063
TAG(56:6_FA22:6),0.69,-0.27,0.22,0.075,0.29,0.37,0.08,0.8961266568483063
TAG(58:6_FA18:0),0.69,-0.0078,0.014,0.075,0.028,0.027,-0.001,0.8961266568483063
DAG(18:1_20:3),0.71,-5.3,2.6,0.068,6.1,6.6,0.5,0.8961266568483063
DAG(18:1_22:6),0.71,-3.1,2.2,0.068,3.5,4.6,1.1,0.8961266568483063
DCER(16:0),0.71,-0.06,0.051,0.068,0.17,0.13,-0.04,0.8961266568483063
FFA(14:0),0.71,-2.8,1.3,0.068,7.3,7,-0.3,0.8961266568483063
FFA(18:0),0.71,-14,9.6,0.068,29,32,3,0.8961266568483063
HCER(24:1),0.71,-0.44,0.6,0.068,2.1,1.9,-0.2,0.8961266568483063
PE(16:0_16:1),0.71,-0.46,0.67,0.068,0.78,0.55,-0.23,0.8961266568483063
PI(18:0_18:0),0.71,-0.88,0.57,0.068,3.2,3.3,0.1,0.8961266568483063
PS(20:0_18:1),0.71,-15,20,0.068,41,38,-3,0.8961266568483063
TAG(51:1_FA16:0),0.71,-0.5,1.3,0.068,1.1,0.84,-0.26,0.8961266568483063
TAG(51:1_FA17:0),0.71,-0.2,0.51,0.068,0.54,0.42,-0.12,0.8961266568483063
TAG(52:2_FA16:1),0.71,-0.15,0.12,0.068,0.23,0.24,0.01,0.8961266568483063
TAG(52:4_FA20:4),0.71,-0.46,0.42,0.068,0.71,0.72,0.01,0.8961266568483063
TAG(54:2_FA16:0),0.71,-0.34,0.6,0.068,0.79,0.65,-0.14,0.8961266568483063
TAG(54:4_FA20:2),0.71,-0.16,0.33,0.068,0.59,0.61,0.02,0.8961266568483063
TAG(54:5_FA16:0),0.71,-0.37,0.29,0.068,0.62,0.6,-0.02,0.8961266568483063
TAG(54:7_FA22:5),0.71,-0.043,0.049,0.068,0.079,0.074,-0.005,0.8961266568483063
TAG(54:8_FA22:6),0.71,-0.14,0.14,0.068,0.18,0.18,0,0.8961266568483063
TAG(55:2_FA18:1),0.71,-0.026,0.042,0.068,0.058,0.056,-0.002,0.8961266568483063
TAG(56:8_FA18:1),0.71,-0.041,0.048,0.068,0.076,0.058,-0.018,0.8961266568483063
TAG(58:7_FA18:1),0.71,-0.061,0.035,0.068,0.093,0.098,0.005,0.8961266568483063
TAG(58:8_FA20:3),0.71,-0.087,0.043,0.068,0.097,0.1,0.003,0.8961266568483063
TAG(60:11_FA22:6),0.71,-0.094,0.082,0.068,0.14,0.14,0,0.8961266568483063
CER(26:1),0.74,-0.03,0.021,0.061,0.086,0.091,0.005,0.8982719546742209
LCER(16:0),0.74,-0.31,0.59,0.061,2,2.1,0.1,0.8982719546742209
LCER(20:0),0.74,-0.0018,0.0021,0.061,0.0059,0.0055,-4e-4,0.8982719546742209
LPC(20:4),0.74,-0.2,0.17,0.061,0.62,0.61,-0.01,0.8982719546742209
PE(16:0_16:0),0.74,-0.035,0.053,0.061,0.1,0.088,-0.012,0.8982719546742209
TAG(49:1_FA16:0),0.74,-0.43,1.2,0.061,1.1,0.68,-0.42,0.8982719546742209
TAG(51:0_FA17:0),0.74,-0.02,0.055,0.061,0.054,0.041,-0.013,0.8982719546742209
TAG(51:0_FA18:0),0.74,-0.01,0.029,0.061,0.024,0.02,-0.004,0.8982719546742209
TAG(51:2_FA17:0),0.74,-0.12,0.25,0.061,0.32,0.24,-0.08,0.8982719546742209
TAG(51:3_FA17:0),0.74,-0.018,0.041,0.061,0.052,0.039,-0.013,0.8982719546742209
TAG(51:4_FA16:1),0.74,-0.018,0.024,0.061,0.039,0.033,-0.006,0.8982719546742209
TAG(52:3_FA20:3),0.74,-0.28,0.6,0.061,0.57,0.51,-0.06,0.8982719546742209
TAG(53:1_FA17:0),0.74,-0.047,0.099,0.061,0.11,0.087,-0.023,0.8982719546742209
TAG(53:1_FA18:0),0.74,-0.054,0.12,0.061,0.13,0.1,-0.03,0.8982719546742209
TAG(53:4_FA16:0),0.74,-0.0087,0.024,0.061,0.024,0.019,-0.005,0.8982719546742209
TAG(54:2_FA20:1),0.74,-0.84,1.5,0.061,2.5,2.2,-0.3,0.8982719546742209
TAG(54:3_FA16:0),0.74,-0.15,0.34,0.061,0.52,0.48,-0.04,0.8982719546742209
